"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","1","25511793","12","C/C","S","4622   GLENCOE AVE #6","MARINA DEL REY","2","2.00 (2 0 0 0)","1,153","$1,040.76","$1,200,000","$1,250,000","$996.00","159,265","1978","10"
"","17","25513095","12","C/C","S","4080   Glencoe Ave #406","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","$1,055.56","$1,330,000","$1,330,000","$641.34","11,529","2011","7"
"","40","25513773","12","C/C","S","1   Northstar St #202","Marina Del Rey","2","3.00 (2 0 1 0)","1,852","$1,727.86","$3,200,000","$2,950,000","$950.00","11,096","1973","28"
"","35","25514007","12","C/C","S","13082   Mindanao Way #54","Marina Del Rey","2","3.00 (2 0 0 1)","2,217","$811.46","$1,799,000","$1,650,000","$1,214.50","538,904","1980","17"
"","25","25515691","12","C/C","S","5100   Via Dolce  #209","Marina Del Rey","2","2.00 (2 0 0 0)","1,481","$809.59","$1,199,000","$1,185,000","$965.00","100,437","1978","19"
"","4","25516573","12","C/C","S","4800   La Villa Marina  #C","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","$568.27","$899,000","$899,000","$400.00","71,666","1968","1"
"","2","25517145","12","C/C","S","13600   Marina Pointe Dr #1604","Marina Del Rey","2","3.00 (2 0 1 0)","1,885","$1,058.36","$1,995,000","$1,965,000","$2,188.28","122,880","1999","44"
"","1","25522207","12","C/C","S","13700   Marina Pointe Dr #416","Marina Del Rey","2","2.00 (2 0 0 0)","1,227","$854.93","$1,049,000","$1,049,000","$1,219.15","124,705","2003","4"
"","30","25524577","12","C/C","S","4018   Redwood Ave #F","Los Angeles","2","2.00 (1 1 0 0)","952","$890.76","$848,000","$866,000","$250.00","6,173","1984","18"
"","1","25524835","12","C/C","S","4338   Glencoe Ave #1","Marina Del Rey","2","2.00 (2 0 0 0)","1,057","$1,035.95","$1,095,000","$1,150,000","$637.00","552,201","1974","18"
"","21","25524853","12","C/C","S","31   Spinnaker St #15","Marina Del Rey","3","3.00 (1 1 1 0)","1,502","$1,061.92","$1,595,000","$1,580,000","$828.00","17,868","1967","53"
"","33","25526761","12","C/C","S","3602   Via Dolce  ","Marina Del Rey","2","3.00 (2 1 0 0)","1,559","$958.95","$1,495,000","$1,450,000","$625.00","105,205","1978","36"
"","1","25527309","12","C/C","S","4337   Marina City DR #149","MARINA DEL REY","3","2.00 (1 1 0 0)","1,722","$417.54","$719,000","$645,000","$1,763.23","","1972","82"
"","22","25528147","12","C/C","S","4050   Glencoe Ave #211","Marina Del Rey","2","2.00 (2 0 0 0)","1,380","$778.99","$1,075,000","$1,075,000","$541.68","59,223","2007","42"
"","1","25528701","12","C/C","S","13010   Maxella Ave #8","Marina Del Rey","3","3.00 (2 0 1 0)","1,645","$911.25","$1,499,000","$1,600,000","$778.00","390,168","1975","8"
"","2","25529251","12","C/C","S","13241   Fiji Way #C","Marina Del Rey","2","3.00 (2 0 1 0)","1,582","$663.72","$1,050,000","$1,005,000","$358.00","66,755","1970","0"
"","47","25532349","12","C/C","S","4631   Alla Rd #9","Marina Del Rey","2","3.00 (3 0 0 0)","1,912","$499.48","$955,000","$1,013,500","$966.00","196,139","1977","17"
"","37","25532593","12","C/C","S","4337   Marina City DR #143","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$497.33","$465,000","$465,000","$958.36","","1972","4"
"","37","25533703","12","C/C","S","4080   Glencoe Ave #124","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","$991.27","$1,249,000","$1,150,000","$641.00","11,526","2011","35"
