"Open Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths(FTHQ)","SqFt","LP $/SqFt","LP","SP","HOD","Lot Sz","YB","DOM"
"","41","23-232163","12","C/C","S","24   Eastwind St #1","Marina Del Rey","3","4.00 (3 0 1 0)","2,286","$1,091.43","$2,495,000","$2,360,000","$750.00","3,085","1990","20"
"","27","23-232221","12","C/C","S","4316   Marina City DR #925","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$582.89","$545,000","$535,000","$870.26","","1972","17"
"","4","23-232295","12","C/C","S","4115   Glencoe Ave #303","Marina Del Rey","2","2.00 (2 0 0 0)","1,770","$762.71","$1,350,000","$1,285,000","$600.00","39,560","2006","5"
"","36","23-232571","12","C/C","S","13600   Marina Pointe Dr #504","Marina Del Rey","2","3.00 (2 0 1 0)","1,885","$875.33","$1,650,000","$1,615,000","$1,977.69","122,880","1999","17"
"","37","23-233061","12","C/C","S","13650   MARINA POINTE DR #1403","MARINA DEL REY","2","2.00 (2 0 0 0)","1,780","$1,207.30","$2,149,000","$1,920,000","$1,866.17","31,650","2006","30"
"","43","23-233767","12","C/C","S","4310   Glencoe Ave #9","Marina Del Rey","2","3.00 (3 0 0 0)","1,547","$833.23","$1,289,000","$1,275,000","$580.00","552,048","1974","35"
"","34","23-233913","12","C/C","S","13082   Mindanao Way #24","Marina Del Rey","3","3.00 (3 0 0 0)","2,474","$706.95","$1,749,000","$1,726,500","$1,018.00","538,756","1980","12"
"","1","23-234483","12","C/C","S","13337   Beach Ave #109","Marina Del Rey","3","3.00 (3 0 0 0)","2,486","$602.98","$1,499,000","$1,485,000","$549.74","11,252","2013","34"
"","30","23-234697","12","C/C","S","4316   Marina City DR #1121","MARINA DEL REY","1","1.00 (1 0 0 0)","935","$593.58","$555,000","$555,000","$870.26","","1972","53"
"","29","23-234699","12","C/C","S","4314   Marina City DR #626","MARINA DEL REY","1","1.00 (0 1 0 0)","935","$679.14","$635,000","$635,000","$870.26","","1972","6"
"","25","23-235093","12","C/C","S","4450   Kensington Rd #3","Los Angeles","2","2.00 (2 0 0 0)","1,178","$615.45","$725,000","$769,000","$500.00","7,951","1981","9"
"","1","23-235773","12","C/C","S","4342   Redwood Ave #C-106","Marina Del Rey","2","2.00 (2 0 0 0)","1,966","$584.94","$1,150,000","$1,175,000","$1,095.00","259,480","1981","17"
"","33","23-236563","12","C/C","S","4337   Marina City Drive #249","MARINA DEL REY","3","2.00 (0 2 0 0)","1,722","$403.60","$695,000","$695,000","$1,396.65","","","52"
"","2","23-236903","12","C/C","S","13600   Marina Pointe Dr #1705","Marina Del Rey","2","3.00 (2 0 1 0)","1,900","$1,000","$1,900,000","$1,900,000","$1,981.54","122,880","1999","0"
"","40","23-237605","12","C/C","S","4314   Marina City DR #816 CTS","MARINA DEL REY","3","2.00 (0 2 0 0)","1,722","$487.22","$839,000","$888,000","$1,564.25","","","38"
